text,location,tsunami,high_waves,coastal_flooding,not_relevant,panic,informational,help_needed
🤷‍♀️ Enjoying the beautiful sunset at Ahmedabad . 155dd05d-306d-477b-ab60-fde649360159,Ahmedabad,0,0,0,1,0,0,0
😬 High tide and strong waves at Vizag beach . a79ee601-18e2-4823-9c36-9b1162062a29,Vizag,0,1,0,0,1,0,0
😍 My life is a tsunami of work ? 41a435d9-4d14-4eaf-9bfd-9d417b14950b,Jaipur,0,0,0,1,0,0,0
📰 Heavy waterlogging on roads in Marine Drive Mumbai ? bd5c3e19-07b4-40e5-9a4d-a0fe1c5372e3,Marine Drive Mumbai,0,0,1,0,0,1,0
😎 Had a great time at Cavelossim Beach . ceed8627-6621-4a59-b470-6700ddaad3d2,Cavelossim Beach,0,0,0,1,0,0,0
👍 The new movie's climax was a flood of emotions ! 960d58c3-665b-4719-94e7-a598808f9d18,Digha,0,0,0,1,0,0,0
😊 My life is a tsunami of work ? 623d762c-61fb-4905-83ff-87f873974d46,Bangalore,0,0,0,1,0,0,0
😰 Unusually high waves are lashing the coasts of Cavelossim Beach . e93f4ff7-f972-43d2-beb4-39356bc55390,Cavelossim Beach,0,1,0,0,1,0,0
"🆘 The sea is receding at Nagoa Beach, a possible sign of tsunami . fb8eaafc-0cc0-4140-875b-3fbf8f808994",Nagoa Beach,1,0,0,0,1,0,0
😂 Just chilling at Kollam beach . ea012b7b-a12b-42a9-baf0-0ed5811e3032,Kollam,0,0,0,1,0,0,0
😂 Great weather in Ahmedabad today . 407b370c-1b80-44c8-8739-601ffe8af879,Ahmedabad,0,0,0,1,0,0,0
😂 Great weather in Pune today ! 56712762-3574-4f54-97f5-5308b4f72776,Pune,0,0,0,1,0,0,0
🗓️ Water is entering homes in Marine Drive Mumbai near the shore ! 54938310-d124-43e4-981e-c96d072aa228,Marine Drive Mumbai,0,0,1,0,0,1,0
😂 Had a great time at Vizag ? 52fedeec-791c-4d77-9071-0eac766a9572,Vizag,0,0,0,1,0,0,0
📢 Evacuate coastal areas of Vizag immediately ! f54b222f-6d27-4ec0-b800-da9930bec864,Vizag,1,0,0,0,0,1,0
😎 The new movie's climax was a flood of emotions . c3a110c9-8415-40cc-a7fc-c8c99a77c24f,Chandigarh,0,0,0,1,0,0,0
🚨 Massive high waves hitting Puri shores ! a3ebd5d0-93ee-4a93-8937-f16bcb5378e4,Puri,0,1,0,0,1,0,0
😎 Just chilling at Alibaug beach ! 16aef682-f226-49ba-9ca3-5a5010870c08,Alibaug,0,0,0,1,0,0,0
😊 My life is a tsunami of work ! 98021c32-982b-43c4-a91e-b1bd03e9cd8d,Jaipur,0,0,0,1,0,0,0
😂 Great weather in Varanasi today ! 2abe65b9-aff8-44bb-aa14-bcb397e27169,Varanasi,0,0,0,1,0,0,0
😬 My life is a tsunami of work ! 2fe31518-985b-4de6-94e6-ca5decf06679,Pune,0,0,0,1,1,0,0
🤷‍♀️ Had a great time at Kochi ? c94d4930-0d1a-4c52-915f-5ac2a36f2c32,Kochi,0,0,0,1,0,0,0
😭 Reports of a tsunami alert near Alappuzha ! 18e3c94d-fcd4-447b-a9bb-e8f4a646b09b,Alappuzha,1,0,0,0,1,0,1
🤦‍♂️ The new movie's climax was a flood of emotions ? 5c3132df-9cee-478e-9f38-3678b7004a46,Alibaug,0,0,0,1,0,0,0
😂 Just chilling at Cavelossim Beach beach ! 0716bcff-1316-4724-9bcb-c3e3138e11f2,Cavelossim Beach,0,0,0,1,0,0,0
👍 The new movie's climax was a flood of emotions ? 03b6c02b-285d-4e60-af6f-9a6ae6a45c2b,Amritsar,0,0,0,1,0,0,0
🤷‍♀️ Great weather in Amritsar today . 98423f66-e8dc-4d7c-9cfe-8c67252fc11c,Amritsar,0,0,0,1,0,0,0
🤷‍♀️ Enjoying the beautiful sunset at Nagoa Beach ! 7adbc9f9-d523-4ffd-8893-b3e45b4cf4e1,Nagoa Beach,0,0,0,1,0,0,0
😊 Just chilling at Gopalpur beach ? b8b012e3-99ea-42ba-9072-e286eb3e8bae,Gopalpur,0,0,0,1,0,0,0
😎 Had a great time at Digha ! e89800e4-b91b-4ebd-a33a-16d8917ea95c,Digha,0,0,0,1,0,0,0
😬 Massive high waves hitting Kochi shores . 392be680-68cc-479d-b3ba-c2b8f63a0593,Kochi,0,1,0,0,1,0,0
👍 Great weather in Jaipur today ! d6fe76c1-62b1-4b80-88e7-ee300dc8b0b5,Jaipur,0,0,0,1,0,0,0
😊 Great weather in Kochi today . 839cbbcf-94d5-4ffb-84e0-845ba5f21b18,Kochi,0,0,0,1,0,0,0
🚨 Evacuate coastal areas of Marina Beach Chennai immediately ! c7f30e6c-378b-4b53-8ea3-86fb0ef7a0b6,Marina Beach Chennai,1,0,0,0,1,0,0
😍 Had a great time at Puri ? dbe15e14-f13b-438b-bfd8-fc6c89b4eddb,Puri,0,0,0,1,0,0,0
😎 Great weather in Agra today . 9d35c7b7-7245-4a23-8669-74558b22a9c4,Agra,0,0,0,1,0,0,0
🚨 Heavy waterlogging on roads in Chennai ? 22308de1-2687-4dfd-9283-d90ebe7cba22,Chennai,0,0,1,0,1,0,0
✔️ Reports of a tsunami alert near Puri ! 31898b2c-26ae-45a7-8e02-9027c8cd9476,Puri,1,0,0,0,0,1,0
📣 Heavy waterlogging on roads in Goa . c3cbdfe3-d70f-4a96-a3cc-c264737fd279,Goa,0,0,1,0,0,1,0
🗓️ Evacuate coastal areas of Alappuzha immediately . 0484b9d3-d41a-4ac0-bab0-c3ead74e6096,Alappuzha,1,0,0,0,0,1,0
"😰 Cyclone alert, waves getting dangerously high at Nagoa Beach ? e82e9a7f-bb0c-440d-9359-de2ecacb0ff7",Nagoa Beach,0,1,0,0,1,0,0
🤦‍♂️ Had a great time at Jaipur ? 2d0268f2-d252-4781-96cf-59c6ba843c25,Jaipur,0,0,0,1,0,0,0
😍 The new movie's climax was a flood of emotions . 60627fe8-8fa9-4097-bad1-9ba874d96e55,Jaipur,0,0,0,1,0,0,0
⚠️ Just chilling at Alappuzha beach . e6f31984-3954-45fc-abc9-d8cb6ce07b72,Alappuzha,0,0,0,1,0,1,0
😂 Had a great time at Agra ? a1c6f490-2a50-4783-9fb9-d03822f218e9,Agra,0,0,0,1,0,0,0
✔️ Coastal flooding reported in Chennai after rains . 05a8ce22-4579-4711-8c80-89bdf7fbefae,Chennai,0,0,1,0,0,1,0
📰 Unusually high waves are lashing the coasts of Cavelossim Beach . dab102cb-bc1b-47f4-b807-5bb71c949480,Cavelossim Beach,0,1,0,0,0,1,0
🤦‍♂️ My life is a tsunami of work ! 08be06a0-af61-4098-85c4-46e1fbe54601,Cavelossim Beach,0,0,0,1,0,0,0
"📢 The sea is receding at Gopalpur, a possible sign of tsunami ? 6376bde5-bbbb-4c36-9fc3-ce607b54a707",Gopalpur,1,0,0,0,0,1,0
😍 Great weather in Mumbai today ? f76c315a-8f6c-4f32-85d0-47f23f15d35d,Mumbai,0,0,0,1,0,0,0
😊 Just chilling at Kolkata beach . 124f4a88-17cc-4bee-adbe-6aa90b6fb156,Kolkata,0,0,0,1,0,0,0
😍 Enjoying the beautiful sunset at Vizag ? e8109e08-09c2-427a-ba8f-4b153720c8ac,Vizag,0,0,0,1,0,0,0
📰 My life is a tsunami of work ? 96c94335-e55d-4374-9159-eec927854720,Puri,0,0,0,1,0,1,0
😂 Enjoying the beautiful sunset at Cavelossim Beach ? 6cc38d06-1d39-49dc-a8a1-0e21691b8094,Cavelossim Beach,0,0,0,1,0,0,0
🤦‍♂️ Had a great time at Mumbai ! 4056f4b7-b54e-4039-a88b-4f9239a4b7b5,Mumbai,0,0,0,1,0,0,0
🤦‍♂️ My life is a tsunami of work ! 40331511-5305-4cbe-ba2a-493eddb9d149,Gopalpur,0,0,0,1,0,0,0
🤦‍♂️ The new movie's climax was a flood of emotions ? 6699882c-e357-4978-83a7-354f0cfa47f7,Kolkata,0,0,0,1,0,0,0
😂 Had a great time at Hyderabad . 9ce9b994-8068-4402-b928-4e71f5c9c43e,Hyderabad,0,0,0,1,0,0,0
🤷‍♀️ Had a great time at Kochi ? 44fabba7-9e23-4eeb-be8c-d3dc258470a9,Kochi,0,0,0,1,0,0,0
🤦‍♂️ Enjoying the beautiful sunset at Kochi ! 3b9c58ab-da2c-42b8-b8d9-b71e5da5c26c,Kochi,0,0,0,1,0,0,0
📢 Had a great time at Goa ? 98c56dfb-6879-40ab-b862-9403f47f04a8,Goa,0,0,0,1,0,1,0
👍 Just chilling at Cavelossim Beach beach ? f4c83c8b-fd4a-4084-a130-95b614a4e239,Cavelossim Beach,0,0,0,1,0,0,0
😍 The new movie's climax was a flood of emotions . 98260885-4b39-43c2-8377-c4944c5d6222,Digha,0,0,0,1,0,0,0
🆘 Unusually high waves are lashing the coasts of Puri . 3874fff9-46c9-459e-ad44-f04a62d06128,Puri,0,1,0,0,1,0,0
👍 The new movie's climax was a flood of emotions ? eb9f9043-ec9b-4f06-9c6d-13085460206e,New Delhi,0,0,0,1,0,0,0
👍 Had a great time at Alibaug ? 584afecc-e19e-43d8-8839-e9d5aca5488c,Alibaug,0,0,0,1,0,0,0
😨 Unusually high waves are lashing the coasts of Gopalpur . a8435f2f-fea5-46e7-861d-f8ea0b30ed32,Gopalpur,0,1,0,0,1,0,0
🤦‍♂️ My life is a tsunami of work ! 2d9acc7d-8d31-49ed-8f08-3a161e3bd4a5,Nagoa Beach,0,0,0,1,0,0,0
🤷‍♀️ Just chilling at Jaipur beach ? 688e8412-be0c-4c3f-95be-72c324e58bbc,Jaipur,0,0,0,1,0,0,0
🤷‍♀️ My life is a tsunami of work ! abe40d28-ff9f-4d4b-a792-3e353ae125b5,Digha,0,0,0,1,0,0,0
😬 Water is entering homes in Digha near the shore ? 99d7090e-9090-4451-8bf5-1084d0643d71,Digha,0,0,1,0,1,0,0
😊 Had a great time at Chennai ! ae1a1a1c-0e6c-4ceb-9d85-4be5d3e8e390,Chennai,0,0,0,1,0,0,0
😂 Just chilling at Bhopal beach . 2fe56712-b9f6-46e0-a207-e99af2c6b3cc,Bhopal,0,0,0,1,0,0,0
🆘 The streets of Marine Drive Mumbai have turned into a river . d3576761-3b33-4e39-8be2-1ce2fc9a1dca,Marine Drive Mumbai,0,0,1,0,1,0,1
🆘 The news is confirming a tsunami threat for Gopalpur . d89da533-a383-4de5-b132-012f732cba50,Gopalpur,1,0,0,0,1,0,1
😍 Had a great time at Puri ! 6ce35d8e-c86f-40dd-84b1-3cbb34127abe,Puri,0,0,0,1,0,0,0
"🏃‍♂️ The sea is receding at Digha, a possible sign of tsunami . 617b32e3-a850-4037-85ff-4b31a0dff7a3",Digha,1,0,0,0,1,0,0
😂 Had a great time at Ahmedabad . 9ba4f33d-a95b-4223-8aad-59d61a80c403,Ahmedabad,0,0,0,1,0,0,0
😊 Great weather in Bhopal today ? 8b2088ce-f739-4a82-9734-44c9da0a6528,Bhopal,0,0,0,1,0,0,0
😎 Just chilling at Kochi beach ? 7a671b0f-c888-4514-83db-80bfedbda939,Kochi,0,0,0,1,0,0,0
🚨 Local authorities advising to avoid Marina Beach Chennai due to flooding . 7bcd4de1-05bb-4021-b23c-8b220ba9d4f3,Marina Beach Chennai,0,0,1,0,1,0,1
😊 The new movie's climax was a flood of emotions . 78cef5fa-432b-49ed-9ff2-d3e3bda5312d,Pune,0,0,0,1,0,0,0
😊 Enjoying the beautiful sunset at Cavelossim Beach . d08eafe0-5337-4c46-836f-134d7eeffdd4,Cavelossim Beach,0,0,0,1,0,0,0
👍 My life is a tsunami of work ! 01300495-32ed-4077-a461-4ae00a9e573b,Bangalore,0,0,0,1,0,0,0
😂 Just chilling at Goa beach ? 7fb365f5-ce6f-4065-ad6a-092742bdaf08,Goa,0,0,0,1,0,0,0
😍 Enjoying the beautiful sunset at Ahmedabad . 83b7f1bd-1a9f-4718-998f-5a0481aca332,Ahmedabad,0,0,0,1,0,0,0
😊 Had a great time at Chennai ? 542de819-2f67-47d9-a793-c343aed82d82,Chennai,0,0,0,1,0,0,0
😂 Great weather in Agra today ! 2ba8eef4-8448-4e09-9d93-1e6b5631a12b,Agra,0,0,0,1,0,0,0
📢 Local authorities advising to avoid Vizag due to flooding . b023ffa8-d4b0-4cf2-8544-943527e69ff6,Vizag,0,0,1,0,0,1,0
😍 My life is a tsunami of work ! 57cad582-0fed-41f7-9725-abef43909693,Digha,0,0,0,1,0,0,0
😊 Enjoying the beautiful sunset at Gopalpur . 03e5e755-d019-40b3-9222-3d40d62f36d3,Gopalpur,0,0,0,1,0,0,0
🤦‍♂️ Had a great time at Vizag . 5d666838-22db-4cb9-8255-1cf1e7cd8a05,Vizag,0,0,0,1,0,0,0
😎 The new movie's climax was a flood of emotions . f791f3a5-da7b-411e-b039-c4c98c7db32d,Jaipur,0,0,0,1,0,0,0
😍 The new movie's climax was a flood of emotions . cdf641a0-2ae9-425d-a870-dc88ec3088e6,Amritsar,0,0,0,1,0,0,0
😍 Enjoying the beautiful sunset at Alibaug ? 66139e0a-0bd4-48dd-8942-22c370d693db,Alibaug,0,0,0,1,0,0,0
😂 My life is a tsunami of work ? 674f4b5a-acf0-474f-bf08-0c709e820afd,Hyderabad,0,0,0,1,0,0,0
😊 The new movie's climax was a flood of emotions . 8a78f087-bde8-4313-aa24-b72a73d708be,Kovalam beach,0,0,0,1,0,0,0
🆘 Unusually high waves are lashing the coasts of Goa . d30c430c-0840-4cc3-9837-657b2d3f80d3,Goa,0,1,0,0,1,0,1
😊 Just chilling at Varanasi beach ? 7a606d02-79c5-4876-969b-ec89a0115e06,Varanasi,0,0,0,1,0,0,0
📰 Had a great time at Kochi ! a2036ed6-7f05-4383-869f-f1ef92066850,Kochi,0,0,0,1,0,1,0
😍 Just chilling at Nagoa Beach beach ? f3eaaa7f-c173-401c-a466-9e468f76a41a,Nagoa Beach,0,0,0,1,0,0,0
😰 High tide and strong waves at Marine Drive Mumbai beach . e9f62121-f3a5-4d50-97c5-540a733ce7ce,Marine Drive Mumbai,0,1,0,0,1,0,0
✔️ Just chilling at Digha beach ! 9ae65658-7a1c-4833-99be-17dcc80f1601,Digha,0,0,0,1,0,1,0
😎 Had a great time at Kovalam beach ? a857fb34-ab35-4b01-9a40-f4d5b680b952,Kovalam beach,0,0,0,1,0,0,0
🤦‍♂️ The new movie's climax was a flood of emotions ! 24a582be-640f-4754-8c1f-e2d96a650faf,Marina Beach Chennai,0,0,0,1,0,0,0
😍 Had a great time at Varanasi . 66634e79-0dc0-46f7-a181-f2e61d3430e3,Varanasi,0,0,0,1,0,0,0
😍 The new movie's climax was a flood of emotions . 72cb7091-ad01-47b0-8001-bef04c077a8a,Marine Drive Mumbai,0,0,0,1,0,0,0
👍 My life is a tsunami of work ? 1edf4f03-6336-4925-830b-b7d645c4f887,Vizag,0,0,0,1,0,0,0
🗓️ Water is entering homes in Cavelossim Beach near the shore ! a8eaa5af-e52b-417e-b892-c2ad32a2a344,Cavelossim Beach,0,0,1,0,0,1,0
😎 Just chilling at Marine Drive Mumbai beach ! b42ab82a-a395-4f8b-86bd-6e8b6ce6ae74,Marine Drive Mumbai,0,0,0,1,0,0,0
👍 Had a great time at Amritsar ? f31d4f32-c9fc-4f1f-99ac-96dc30381d12,Amritsar,0,0,0,1,0,0,0
😎 Great weather in Lucknow today . 75b989e0-07c3-4eec-8df0-b43f54416336,Lucknow,0,0,0,1,0,0,0
😂 My life is a tsunami of work ? ee74d6e0-a731-454e-ab51-fc3a0c42cffa,Pune,0,0,0,1,0,0,0
😎 Great weather in Marine Drive Mumbai today ? 73672fdb-4471-4c42-9f2b-d4fb653d88d4,Marine Drive Mumbai,0,0,0,1,0,0,0
🤷‍♀️ Just chilling at Nagoa Beach beach . 69f85315-e3e7-4607-8afa-4c6edf3cff21,Nagoa Beach,0,0,0,1,0,0,0
😎 Great weather in Kollam today ! 5b8b964c-25c2-4952-beef-f1be9fc20308,Kollam,0,0,0,1,0,0,0
😱 Rough sea conditions and strong waves in Marine Drive Mumbai . 05ef2c1b-a329-4c14-8a86-39170153535e,Marine Drive Mumbai,0,1,0,0,1,0,0
👍 The new movie's climax was a flood of emotions ! 0a59b805-db4a-4b9e-9432-179fc3007ac9,Bhopal,0,0,0,1,0,0,0
😭 Rough sea conditions and strong waves in Marina Beach Chennai . d8f5fb20-655d-4a62-a968-1b0afe8e9579,Marina Beach Chennai,0,1,0,0,1,0,1
🤷‍♀️ Enjoying the beautiful sunset at Nagoa Beach ! e77a4569-4bcf-43b3-a02d-98ffb13739a2,Nagoa Beach,0,0,0,1,0,0,0
🗓️ Massive high waves hitting Cavelossim Beach shores ? 6a6ae03e-3fdf-4e99-a43b-3f9599e4740e,Cavelossim Beach,0,1,0,0,0,1,0
🤷‍♀️ Just chilling at Puri beach ! 9fe9b618-bc4c-4332-be1a-a63847fe01e5,Puri,0,0,0,1,0,0,0
"🆘 The sea is receding at Cavelossim Beach, a possible sign of tsunami . 289be43c-845b-4bc1-b5f8-0bdb145f4bba",Cavelossim Beach,1,0,0,0,1,0,0
😊 Just chilling at Lucknow beach . 367c3499-2e93-4630-a7fe-628dfbad9de6,Lucknow,0,0,0,1,0,0,0
🤷‍♀️ Enjoying the beautiful sunset at Nagoa Beach ! 925dcfee-b4c4-4879-ae79-08e213659f98,Nagoa Beach,0,0,0,1,0,0,0
😎 Just chilling at Puri beach ! 7441306a-9979-4838-882b-d536577ab553,Puri,0,0,0,1,0,0,0
🤷‍♀️ Great weather in Kovalam beach today ? 64f4d0c4-7746-4a7f-8158-8e4c7bcc5504,Kovalam beach,0,0,0,1,0,0,0
😂 My life is a tsunami of work . c5820d7e-d6d4-4d4c-8628-31d68cd47bcb,Pune,0,0,0,1,0,0,0
🆘 Evacuate coastal areas of Alibaug immediately ! a4302a4d-e9de-499d-8f6e-f39e0cb1ab65,Alibaug,1,0,0,0,1,0,1
🤷‍♀️ My life is a tsunami of work ! 1fa75740-b602-4629-bc35-bc2dffb391f0,Cavelossim Beach,0,0,0,1,0,0,0
🆘 Rough sea conditions and strong waves in Kovalam beach ? 8b218846-ba7a-4af6-a13e-0a88c38b5546,Kovalam beach,0,1,0,0,1,0,0
📢 Great weather in Pune today ! d2f3232b-3d9b-40f5-a79a-614f9ef1b6a4,Pune,0,0,0,1,0,1,0
🗓️ Massive high waves hitting Cavelossim Beach shores ? b5a02d42-55d1-43d9-9c33-c4ae813fb639,Cavelossim Beach,0,1,0,0,0,1,0
😊 Just chilling at Agra beach ? fccf3b55-cd30-45ca-973b-3ace75ec9dea,Agra,0,0,0,1,0,0,0
⚠️ Coastal flooding reported in Vizag after rains . d1639c64-024a-4ec7-8f6b-c30703bbc71e,Vizag,0,0,1,0,0,1,0
😍 My life is a tsunami of work ! 8ea497ae-4987-4fac-9b09-a123d7e40c72,Digha,0,0,0,1,0,0,0
🤦‍♂️ My life is a tsunami of work ! 9de77d11-d714-4137-92a9-e1b0cd1a8dfc,Bhopal,0,0,0,1,0,0,0
🤦‍♂️ The new movie's climax was a flood of emotions ? 5786a2dc-7b96-4db5-a18a-5f7427e50947,Jaipur,0,0,0,1,0,0,0
😂 My life is a tsunami of work . 8422aee1-99e8-405a-ac1f-c37dd62bc168,Puri,0,0,0,1,0,0,0
😂 My life is a tsunami of work ? a7b4f403-93e1-4b90-8434-ca2f799d4f8c,Kollam,0,0,0,1,0,0,0
😍 My life is a tsunami of work ? 2b3df02e-6746-4d76-8f3c-f62f9057a959,Kovalam beach,0,0,0,1,0,0,0
📰 Massive high waves hitting Nagoa Beach shores ! 2f7221df-3f8a-4480-9f00-7b06ce2d3fcb,Nagoa Beach,0,1,0,0,0,1,0
📰 The new movie's climax was a flood of emotions ? d6a66ce8-8cc0-4093-9000-b8770d54ea4f,Alappuzha,0,0,0,1,0,1,0
📰 Rough sea conditions and strong waves in Vizag ? e916ae9d-a1c4-4af8-a2db-1a531a6e8934,Vizag,0,1,0,0,0,1,0
✅ My life is a tsunami of work ? ca9f967f-bc11-4654-9b82-539268f7c873,Jaipur,0,0,0,1,0,1,0
⚠️ The new movie's climax was a flood of emotions ! 2af7fada-081a-4f90-a804-965e44539875,Jaipur,0,0,0,1,0,1,0
